king_kor,king_eng,city_ID_t,city_kor_t,city_eng_t,city_color_t,long_t,lat_t,city_ID_s,city_kor_s,city_eng_s,city_color_s,long_s,lat_s,count
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,4
태조,Taejo,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,2
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,2,나주,Naju,#F31735,126.718034,34.987771,4
태조,Taejo,2,나주,Naju,#F31735,126.718034,34.987771,2,나주,Naju,#F31735,126.718034,34.987771,6
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3,충주,Chungju,#7117F3,127.898682,36.985383,2
태조,Taejo,3,충주,Chungju,#7117F3,127.898682,36.985383,3,충주,Chungju,#7117F3,127.898682,36.985383,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4,황주,Hwangju,#69DE82,125.77577,38.669308,4
태조,Taejo,4,황주,Hwangju,#69DE82,125.77577,38.669308,4,황주,Hwangju,#69DE82,125.77577,38.669308,2
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,5,경주,Gyeongju,#F32817,129.220572,35.833987,7
태조,Taejo,5,경주,Gyeongju,#F32817,129.220572,35.833987,5,경주,Gyeongju,#F32817,129.220572,35.833987,5
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,6,명주,Myeongju,#DEC069,128.896978,37.788721,4
태조,Taejo,6,명주,Myeongju,#DEC069,128.896978,37.788721,6,명주,Myeongju,#DEC069,128.896978,37.788721,2
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,9
태조,Taejo,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,2
태조,Taejo,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
태조,Taejo,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
태조,Taejo,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
태조,Taejo,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,2
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,2
태조,Taejo,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
태조,Taejo,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
태조,Taejo,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
태조,Taejo,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
태조,Taejo,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
태조,Taejo,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
태조,Taejo,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,4
혜종,Hyejong,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,2
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,2,나주,Naju,#F31735,126.718034,34.987771,10
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,2,나주,Naju,#F31735,126.718034,34.987771,6
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3,충주,Chungju,#7117F3,127.898682,36.985383,2
혜종,Hyejong,3,충주,Chungju,#7117F3,127.898682,36.985383,3,충주,Chungju,#7117F3,127.898682,36.985383,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4,황주,Hwangju,#69DE82,125.77577,38.669308,4
혜종,Hyejong,4,황주,Hwangju,#69DE82,125.77577,38.669308,4,황주,Hwangju,#69DE82,125.77577,38.669308,2
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,5,경주,Gyeongju,#F32817,129.220572,35.833987,10
혜종,Hyejong,5,경주,Gyeongju,#F32817,129.220572,35.833987,5,경주,Gyeongju,#F32817,129.220572,35.833987,5
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,6,명주,Myeongju,#DEC069,128.896978,37.788721,4
혜종,Hyejong,6,명주,Myeongju,#DEC069,128.896978,37.788721,6,명주,Myeongju,#DEC069,128.896978,37.788721,2
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,9
혜종,Hyejong,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,8
혜종,Hyejong,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,4
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
혜종,Hyejong,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
혜종,Hyejong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
혜종,Hyejong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,2
혜종,Hyejong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
혜종,Hyejong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
혜종,Hyejong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
혜종,Hyejong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
혜종,Hyejong,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
혜종,Hyejong,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,8,진주,Jinju,#F31764,128.081181,35.191929,9
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,19,청주,Cheongju,#9C17F3,127.509353,36.652229,6
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,19,청주,Cheongju,#9C17F3,127.509353,36.652229,9
혜종,Hyejong,19,청주,Cheongju,#9C17F3,127.509353,36.652229,19,청주,Cheongju,#9C17F3,127.509353,36.652229,3
혜종,Hyejong,2,나주,Naju,#F31735,126.718034,34.987771,5,경주,Gyeongju,#F32817,129.220572,35.833987,3
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,4
정종,Jeongjong,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,2
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,2,나주,Naju,#F31735,126.718034,34.987771,10
정종,Jeongjong,2,나주,Naju,#F31735,126.718034,34.987771,2,나주,Naju,#F31735,126.718034,34.987771,6
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3,충주,Chungju,#7117F3,127.898682,36.985383,4
정종,Jeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,3,충주,Chungju,#7117F3,127.898682,36.985383,1
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4,황주,Hwangju,#69DE82,125.77577,38.669308,4
정종,Jeongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,4,황주,Hwangju,#69DE82,125.77577,38.669308,2
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,5,경주,Gyeongju,#F32817,129.220572,35.833987,10
정종,Jeongjong,5,경주,Gyeongju,#F32817,129.220572,35.833987,5,경주,Gyeongju,#F32817,129.220572,35.833987,5
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,6,명주,Myeongju,#DEC069,128.896978,37.788721,4
정종,Jeongjong,6,명주,Myeongju,#DEC069,128.896978,37.788721,6,명주,Myeongju,#DEC069,128.896978,37.788721,2
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,9
정종,Jeongjong,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,8
정종,Jeongjong,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,4
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
정종,Jeongjong,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
정종,Jeongjong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
정종,Jeongjong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,7
정종,Jeongjong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,3
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
정종,Jeongjong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
정종,Jeongjong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
정종,Jeongjong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
정종,Jeongjong,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
정종,Jeongjong,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4
정종,Jeongjong,2,나주,Naju,#F31735,126.718034,34.987771,8,진주,Jinju,#F31764,128.081181,35.191929,9
정종,Jeongjong,2,나주,Naju,#F31735,126.718034,34.987771,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,19,청주,Cheongju,#9C17F3,127.509353,36.652229,10
정종,Jeongjong,2,나주,Naju,#F31735,126.718034,34.987771,19,청주,Cheongju,#9C17F3,127.509353,36.652229,9
정종,Jeongjong,19,청주,Cheongju,#9C17F3,127.509353,36.652229,19,청주,Cheongju,#9C17F3,127.509353,36.652229,5
정종,Jeongjong,2,나주,Naju,#F31735,126.718034,34.987771,5,경주,Gyeongju,#F32817,129.220572,35.833987,3
정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
정종,Jeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,12,승주,Seungju,#F31746,127.400603,35.026826,6
정종,Jeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
정종,Jeongjong,12,승주,Seungju,#F31746,127.400603,35.026826,20,상주,Sangju,#AD17F3,128.166729,36.412928,6
정종,Jeongjong,20,상주,Sangju,#AD17F3,128.166729,36.412928,20,상주,Sangju,#AD17F3,128.166729,36.412928,1
정종,Jeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,19,청주,Cheongju,#9C17F3,127.509353,36.652229,6
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,4
광종,Gwangjong,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,2
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,2,나주,Naju,#F31735,126.718034,34.987771,11
광종,Gwangjong,2,나주,Naju,#F31735,126.718034,34.987771,2,나주,Naju,#F31735,126.718034,34.987771,6
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3,충주,Chungju,#7117F3,127.898682,36.985383,10
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,3,충주,Chungju,#7117F3,127.898682,36.985383,1
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4,황주,Hwangju,#69DE82,125.77577,38.669308,12
광종,Gwangjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,4,황주,Hwangju,#69DE82,125.77577,38.669308,3
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,5,경주,Gyeongju,#F32817,129.220572,35.833987,10
광종,Gwangjong,5,경주,Gyeongju,#F32817,129.220572,35.833987,5,경주,Gyeongju,#F32817,129.220572,35.833987,5
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,6,명주,Myeongju,#DEC069,128.896978,37.788721,4
광종,Gwangjong,6,명주,Myeongju,#DEC069,128.896978,37.788721,6,명주,Myeongju,#DEC069,128.896978,37.788721,2
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,9
광종,Gwangjong,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,10
광종,Gwangjong,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,4
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
광종,Gwangjong,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
광종,Gwangjong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
광종,Gwangjong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,7
