king_kor,king_eng,city_ID_t,city_kor_t,city_eng_t,city_color_t,long_t,lat_t,city_ID_s,city_kor_s,city_eng_s,city_color_s,long_s,lat_s,count
광종,Gwangjong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,3
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
광종,Gwangjong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
광종,Gwangjong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
광종,Gwangjong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
광종,Gwangjong,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
광종,Gwangjong,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8
광종,Gwangjong,2,나주,Naju,#F31735,126.718034,34.987771,8,진주,Jinju,#F31764,128.081181,35.191929,9
광종,Gwangjong,2,나주,Naju,#F31735,126.718034,34.987771,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,19,청주,Cheongju,#9C17F3,127.509353,36.652229,10
광종,Gwangjong,2,나주,Naju,#F31735,126.718034,34.987771,19,청주,Cheongju,#9C17F3,127.509353,36.652229,9
광종,Gwangjong,19,청주,Cheongju,#9C17F3,127.509353,36.652229,19,청주,Cheongju,#9C17F3,127.509353,36.652229,5
광종,Gwangjong,2,나주,Naju,#F31735,126.718034,34.987771,5,경주,Gyeongju,#F32817,129.220572,35.833987,3
광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,12,승주,Seungju,#F31746,127.400603,35.026826,6
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
광종,Gwangjong,12,승주,Seungju,#F31746,127.400603,35.026826,20,상주,Sangju,#AD17F3,128.166729,36.412928,6
광종,Gwangjong,20,상주,Sangju,#AD17F3,128.166729,36.412928,20,상주,Sangju,#AD17F3,128.166729,36.412928,1
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,19,청주,Cheongju,#9C17F3,127.509353,36.652229,6
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,4,황주,Hwangju,#69DE82,125.77577,38.669308,6
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,2,나주,Naju,#F31735,126.718034,34.987771,2
광종,Gwangjong,3,충주,Chungju,#7117F3,127.898682,36.985383,8,진주,Jinju,#F31764,128.081181,35.191929,4
광종,Gwangjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,2,나주,Naju,#F31735,126.718034,34.987771,1
광종,Gwangjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,8,진주,Jinju,#F31764,128.081181,35.191929,2
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,27
경종,Gyeongjong,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,5
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,2,나주,Naju,#F31735,126.718034,34.987771,11
경종,Gyeongjong,2,나주,Naju,#F31735,126.718034,34.987771,2,나주,Naju,#F31735,126.718034,34.987771,6
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3,충주,Chungju,#7117F3,127.898682,36.985383,23
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,3,충주,Chungju,#7117F3,127.898682,36.985383,4
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4,황주,Hwangju,#69DE82,125.77577,38.669308,34
경종,Gyeongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,4,황주,Hwangju,#69DE82,125.77577,38.669308,10
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,5,경주,Gyeongju,#F32817,129.220572,35.833987,16
경종,Gyeongjong,5,경주,Gyeongju,#F32817,129.220572,35.833987,5,경주,Gyeongju,#F32817,129.220572,35.833987,6
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,6,명주,Myeongju,#DEC069,128.896978,37.788721,4
경종,Gyeongjong,6,명주,Myeongju,#DEC069,128.896978,37.788721,6,명주,Myeongju,#DEC069,128.896978,37.788721,2
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,9
경종,Gyeongjong,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,10
경종,Gyeongjong,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,4
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
경종,Gyeongjong,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
경종,Gyeongjong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
경종,Gyeongjong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,7
경종,Gyeongjong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,3
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
경종,Gyeongjong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
경종,Gyeongjong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
경종,Gyeongjong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
경종,Gyeongjong,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
경종,Gyeongjong,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,27
경종,Gyeongjong,2,나주,Naju,#F31735,126.718034,34.987771,8,진주,Jinju,#F31764,128.081181,35.191929,9
경종,Gyeongjong,2,나주,Naju,#F31735,126.718034,34.987771,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,19,청주,Cheongju,#9C17F3,127.509353,36.652229,10
경종,Gyeongjong,2,나주,Naju,#F31735,126.718034,34.987771,19,청주,Cheongju,#9C17F3,127.509353,36.652229,9
경종,Gyeongjong,19,청주,Cheongju,#9C17F3,127.509353,36.652229,19,청주,Cheongju,#9C17F3,127.509353,36.652229,5
경종,Gyeongjong,2,나주,Naju,#F31735,126.718034,34.987771,5,경주,Gyeongju,#F32817,129.220572,35.833987,3
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,12,승주,Seungju,#F31746,127.400603,35.026826,6
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
경종,Gyeongjong,12,승주,Seungju,#F31746,127.400603,35.026826,20,상주,Sangju,#AD17F3,128.166729,36.412928,6
경종,Gyeongjong,20,상주,Sangju,#AD17F3,128.166729,36.412928,20,상주,Sangju,#AD17F3,128.166729,36.412928,1
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,19,청주,Cheongju,#9C17F3,127.509353,36.652229,6
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,4,황주,Hwangju,#69DE82,125.77577,38.669308,12
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,2,나주,Naju,#F31735,126.718034,34.987771,2
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,8,진주,Jinju,#F31764,128.081181,35.191929,4
경종,Gyeongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,2,나주,Naju,#F31735,126.718034,34.987771,1
경종,Gyeongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,8,진주,Jinju,#F31764,128.081181,35.191929,2
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,5,경주,Gyeongju,#F32817,129.220572,35.833987,2
경종,Gyeongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,5,경주,Gyeongju,#F32817,129.220572,35.833987,4
경종,Gyeongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,1,정주,Jeongju,#70C459,125.206375,39.68846,8
경종,Gyeongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,1,정주,Jeongju,#70C459,125.206375,39.68846,12
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,1,정주,Jeongju,#70C459,125.206375,39.68846,33
성종,Seongjong,1,정주,Jeongju,#70C459,125.206375,39.68846,1,정주,Jeongju,#70C459,125.206375,39.68846,5
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,2,나주,Naju,#F31735,126.718034,34.987771,11
성종,Seongjong,2,나주,Naju,#F31735,126.718034,34.987771,2,나주,Naju,#F31735,126.718034,34.987771,6
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,3,충주,Chungju,#7117F3,127.898682,36.985383,30
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,3,충주,Chungju,#7117F3,127.898682,36.985383,5
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,4,황주,Hwangju,#69DE82,125.77577,38.669308,39
성종,Seongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,4,황주,Hwangju,#69DE82,125.77577,38.669308,11
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,5,경주,Gyeongju,#F32817,129.220572,35.833987,25
성종,Seongjong,5,경주,Gyeongju,#F32817,129.220572,35.833987,5,경주,Gyeongju,#F32817,129.220572,35.833987,9
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,6,명주,Myeongju,#DEC069,128.896978,37.788721,4
성종,Seongjong,6,명주,Myeongju,#DEC069,128.896978,37.788721,6,명주,Myeongju,#DEC069,128.896978,37.788721,2
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,9
성종,Seongjong,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,7,평주,Pyeongju,#69DCDE,126.408036,38.329214,10
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,8,진주,Jinju,#F31764,128.081181,35.191929,10
성종,Seongjong,8,진주,Jinju,#F31764,128.081181,35.191929,8,진주,Jinju,#F31764,128.081181,35.191929,4
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,9,홍주,Hongju,#7E17F3,126.654899,36.621606,2
성종,Seongjong,9,홍주,Hongju,#7E17F3,126.654899,36.621606,9,홍주,Hongju,#7E17F3,126.654899,36.621606,1
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,10,합주,Hapju,#F31788,128.10602,35.546972,2
성종,Seongjong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
성종,Seongjong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,7
성종,Seongjong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,3
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
성종,Seongjong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
성종,Seongjong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
성종,Seongjong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
성종,Seongjong,17,의성,Uiseong,#F33F17,128.64861,36.292603,17,의성,Uiseong,#F33F17,128.64861,36.292603,3
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,18,해평,Haepyeong,#F37417,128.419557,36.239348,2
성종,Seongjong,18,해평,Haepyeong,#F37417,128.419557,36.239348,18,해평,Haepyeong,#F37417,128.419557,36.239348,1
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,35
성종,Seongjong,2,나주,Naju,#F31735,126.718034,34.987771,8,진주,Jinju,#F31764,128.081181,35.191929,9
성종,Seongjong,2,나주,Naju,#F31735,126.718034,34.987771,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,19,청주,Cheongju,#9C17F3,127.509353,36.652229,10
성종,Seongjong,2,나주,Naju,#F31735,126.718034,34.987771,19,청주,Cheongju,#9C17F3,127.509353,36.652229,9
성종,Seongjong,19,청주,Cheongju,#9C17F3,127.509353,36.652229,19,청주,Cheongju,#9C17F3,127.509353,36.652229,5
성종,Seongjong,2,나주,Naju,#F31735,126.718034,34.987771,5,경주,Gyeongju,#F32817,129.220572,35.833987,3
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,12,승주,Seungju,#F31746,127.400603,35.026826,6
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,20,상주,Sangju,#AD17F3,128.166729,36.412928,4
성종,Seongjong,12,승주,Seungju,#F31746,127.400603,35.026826,20,상주,Sangju,#AD17F3,128.166729,36.412928,6
성종,Seongjong,20,상주,Sangju,#AD17F3,128.166729,36.412928,20,상주,Sangju,#AD17F3,128.166729,36.412928,1
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,19,청주,Cheongju,#9C17F3,127.509353,36.652229,6
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,4,황주,Hwangju,#69DE82,125.77577,38.669308,15
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,2,나주,Naju,#F31735,126.718034,34.987771,2
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,8,진주,Jinju,#F31764,128.081181,35.191929,4
성종,Seongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,2,나주,Naju,#F31735,126.718034,34.987771,1
성종,Seongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,8,진주,Jinju,#F31764,128.081181,35.191929,2
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,5,경주,Gyeongju,#F32817,129.220572,35.833987,2
성종,Seongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,5,경주,Gyeongju,#F32817,129.220572,35.833987,7
성종,Seongjong,3,충주,Chungju,#7117F3,127.898682,36.985383,1,정주,Jeongju,#70C459,125.206375,39.68846,11
성종,Seongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,1,정주,Jeongju,#70C459,125.206375,39.68846,16
성종,Seongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,21,선산,Seonsan,#F35D17,128.301303,36.262579,8
성종,Seongjong,4,황주,Hwangju,#69DE82,125.77577,38.669308,21,선산,Seonsan,#F35D17,128.301303,36.262579,2
성종,Seongjong,1,정주,Jeongju,#70C459,125.206375,39.68846,21,선산,Seonsan,#F35D17,128.301303,36.262579,4
